date,value,exposure
2015-12-04,406147.657259946,0.98
2015-12-07,404182.7879858841,0.98
2015-12-08,403200.31342650065,0.98
2015-12-09,403002.7452729217,0.0
2015-12-10,403892.1229528868,0.98
2015-12-11,403694.2158126399,0.0
2015-12-14,406545.22342128557,0.98
2015-12-15,408300.3142919183,0.98
2015-12-16,413750.0870815164,0.98
2015-12-17,413547.34953884647,0.0
2015-12-18,413547.34953884647,0.0
2015-12-21,413547.34953884647,0.0
2015-12-22,413547.34953884647,0.0
2015-12-23,413547.34953884647,0.0
2015-12-24,413157.38433413825,0.98
2015-12-28,412876.61133318284,0.98
2015-12-29,418400.1044088066,0.98
2015-12-30,414937.1085017245,0.98
2015-12-31,414733.78931855864,0.0
2016-01-04,414733.78931855864,0.0
2016-01-05,414733.78931855864,0.0
2016-01-06,414733.78931855864,0.0
2016-01-07,414733.78931855864,0.0
2016-01-08,414733.78931855864,0.0
2016-01-11,414733.78931855864,0.0
2016-01-12,414733.78931855864,0.0
2016-01-13,414733.78931855864,0.0
2016-01-14,422199.4637339193,0.98
2016-01-15,421785.7082594601,0.0
2016-01-19,421785.7082594601,0.0
2016-01-20,421785.7082594601,0.0
2016-01-21,421785.7082594601,0.0
2016-01-22,421785.7082594601,0.0
2016-01-25,416770.3681818772,0.98
2016-01-26,420761.43497054686,0.98
2016-01-27,412269.1018376276,0.98
2016-01-28,417489.4712205171,0.98
2016-01-29,430383.7569861122,0.98
2016-02-01,431917.9560692553,0.98
2016-02-02,424350.1622614242,0.98
2016-02-03,423838.671764468,0.98
2016-02-04,424248.05791943637,0.98
2016-02-05,424040.17637105583,0.0
2016-02-08,424040.17637105583,0.0
2016-02-09,424040.17637105583,0.0
2016-02-10,424040.17637105583,0.0
2016-02-11,424040.17637105583,0.0
2016-02-12,424040.17637105583,0.0
2016-02-16,431236.2232918698,0.98
2016-02-17,439906.24980885704,0.98
2016-02-18,438215.31115074543,0.98
2016-02-19,438532.36170295643,0.98
2016-02-22,444240.0007258721,0.98
2016-02-23,437371.48040152615,0.98
2016-02-24,440648.26419231104,0.98
2016-02-25,446038.26364476216,0.98
2016-02-26,444875.9314103978,0.98
2016-02-29,444657.9422040067,0.0
2016-03-01,457409.7602914004,0.98
2016-03-02,458684.79255126277,0.98
2016-03-03,458684.79255126277,0.98
2016-03-04,459853.3884976592,0.98
2016-03-07,457091.3380676745,0.98
2016-03-08,456867.3633120213,0.0
2016-03-09,456867.3633120213,0.0
2016-03-10,456867.3633120213,0.0
2016-03-11,456867.3633120213,0.0
2016-03-14,456867.3633120213,0.0
2016-03-15,456867.3633120213,0.0
2016-03-16,456867.3633120213,0.0
2016-03-17,456867.3633120213,0.0
2016-03-18,456867.3633120213,0.0
2016-03-21,456867.3633120213,0.0
2016-03-22,456867.3633120213,0.0
2016-03-23,456867.3633120213,0.0
2016-03-24,456867.3633120213,0.0
2016-03-28,456867.3633120213,0.0
2016-03-29,456867.3633120213,0.0
2016-03-30,456867.3633120213,0.0
2016-03-31,456867.3633120213,0.0
2016-04-01,456867.3633120213,0.0
2016-04-04,455030.9167719065,0.98
2016-04-05,450724.8007761253,0.98
2016-04-06,455031.7565191716,0.98
2016-04-07,448622.6170506945,0.98
2016-04-08,448622.6170506945,0.98
2016-04-11,447420.5129886294,0.98
2016-04-12,450425.78880956577,0.98
2016-04-13,454933.2592118527,0.98
2016-04-14,454833.12291788217,0.98
2016-04-15,453130.5001189278,0.98
2016-04-18,455033.5423366441,0.98
2016-04-19,452529.88986524974,0.98
2016-04-20,453431.42751096404,0.98
2016-04-21,451828.8820045198,0.98
2016-04-22,444116.9627289496,0.98
2016-04-25,444216.8929177988,0.98
2016-04-26,442112.9566136673,0.98
2016-04-27,440109.01110258955,0.98
2016-04-28,434697.67211966595,0.98
2016-04-29,430988.99456214736,0.98
2016-05-02,434096.71045878256,0.98
2016-05-03,430187.5428671952,0.98
2016-05-04,428884.0605225893,0.98
2016-05-05,429084.53325866704,0.98
2016-05-06,432192.61995951616,0.98
2016-05-09,432192.61995951616,0.98
2016-05-10,437706.3149407161,0.98
2016-05-11,434599.52565158164,0.98
2016-05-12,433396.7977019814,0.98
2016-05-13,431792.7995823807,0.98
2016-05-16,437707.4607632781,0.98
2016-05-17,433398.1077099612,0.98
2016-05-18,434199.8746968016,0.98
2016-05-19,431894.4284833423,0.98
2016-05-20,437007.1285713315,0.98
2016-05-23,436205.32533286605,0.98
2016-05-24,444223.6158782371,0.98
2016-05-25,447229.735155412,0.98
2016-05-26,448632.07457921724,0.98
2016-05-27,450735.747778544,0.98
2016-05-31,451637.1631090395,0.98
2016-06-01,450535.3503341059,0.98
2016-06-02,450134.76022322837,0.98
2016-06-03,449133.07504283823,0.98
2016-06-06,449934.51930976013,0.98
2016-06-07,451737.33058009646,0.98
2016-06-08,452638.7906058255,0.98
2016-06-09,452739.0670887692,0.98
2016-06-10,449333.8140996092,0.98
2016-06-13,444425.5784631729,0.98
2016-06-14,445427.4415387343,0.98
2016-06-15,444325.2722904719,0.98
2016-06-16,445227.1237755585,0.98
2016-06-17,442317.6511823773,0.98
2016-06-20,444129.8749711801,0.98
2016-06-21,447150.2521467433,0.98
2016-06-22,445640.44214839267,0.98
2016-06-23,451580.13193127175,0.98
2016-06-24,451137.5834019791,0.0
2016-06-27,451137.5834019791,0.0
2016-06-28,451137.5834019791,0.0
2016-06-29,451137.5834019791,0.0
2016-06-30,451137.5834019791,0.0
2016-07-01,452024.14104611875,0.98
2016-07-05,448763.1610905522,0.98
2016-07-06,451820.7913263087,0.98
2016-07-07,451820.7913263087,0.98
2016-07-08,458750.51456922793,0.98
2016-07-11,461399.1661729269,0.98
2016-07-12,465066.31591620453,0.98
2016-07-13,465168.09414764924,0.98
2016-07-14,468121.6757518139,0.98
2016-07-15,467714.18603476294,0.98
2016-07-18,470769.42188147974,0.98
2016-07-19,469750.9867759182,0.98
2016-07-20,475758.9465984768,0.98
2016-07-21,473315.8444539817,0.98
2016-07-22,476064.5592846192,0.98
2016-07-25,475453.748283514,0.98
2016-07-26,476471.7214952855,0.98
2016-07-27,480339.98030390684,0.98
2016-07-28,480645.37339135114,0.98
2016-07-29,482375.69638389227,0.98
2016-08-01,483291.49516943237,0.98
2016-08-02,479729.75285311526,0.98
2016-08-03,481358.43021587154,0.98
2016-08-04,483902.66172142513,0.98
2016-08-05,488482.09721662296,0.98
2016-08-08,488380.3342236358,0.98
2016-08-09,489397.96848091047,0.98
2016-08-10,487871.71105916915,0.98
2016-08-11,489601.4248751595,0.98
2016-08-12,489092.5474091956,0.98
2016-08-15,491432.7788842842,0.98
2016-08-16,487872.15588046156,0.98
2016-08-17,487668.58141917654,0.98
2016-08-18,487872.1576147823,0.98
2016-08-19,488177.45470832573,0.98
2016-08-22,488177.45470832573,0.98
2016-08-23,489907.0188343785,0.98
2016-08-24,487261.8948923349,0.98
2016-08-25,488279.3629765571,0.98
2016-08-26,488482.8479399639,0.98
2016-08-29,490314.24010695505,0.98
2016-08-30,488686.4121932499,0.98
2016-08-31,487872.5290323985,0.98
2016-09-01,489398.88646319293,0.98
2016-09-02,491535.27190190996,0.98
2016-09-06,493976.8909159192,0.98
2016-09-07,495197.5988162779,0.98
2016-09-08,491230.49771707685,0.98
2016-09-09,479429.371810295,0.98
2016-09-12,479194.45141810796,0.0
2016-09-13,475558.94375304953,0.98
2016-09-14,477759.6820547277,0.98
2016-09-15,485461.4997416356,0.98
2016-09-16,483714.48492092406,0.98
2016-09-19,482810.75638803345,0.98
2016-09-20,482509.51614473,0.98
2016-09-21,487831.5090273942,0.98
2016-09-22,490742.9433758325,0.98
2016-09-23,486526.84851501795,0.98
2016-09-26,483715.80482765485,0.98
2016-09-27,488937.10305515066,0.98
2016-09-28,489840.63714122766,0.98
2016-09-29,489696.6239939081,0.0
2016-09-30,489696.6239939081,0.0
2016-10-03,488146.9950669073,0.98
2016-10-04,488003.47985035763,0.0
2016-10-05,488003.47985035763,0.0
2016-10-06,488003.47985035763,0.0
2016-10-07,488003.47985035763,0.0
2016-10-10,488003.47985035763,0.0
2016-10-11,488003.47985035763,0.0
2016-10-12,488003.47985035763,0.0
2016-10-13,488003.47985035763,0.0
2016-10-14,488003.47985035763,0.0
2016-10-17,488003.47985035763,0.0
2016-10-18,488003.47985035763,0.0
2016-10-19,488003.47985035763,0.0
2016-10-20,485651.2603828956,0.98
