date,value,exposure
2011-03-29,150937.54426404875,0.98
2011-03-30,151961.42322386988,0.98
2011-03-31,151477.46349193633,0.98
2011-04-01,151924.2438194103,0.98
2011-04-04,152017.29525682895,0.98
2011-04-05,152464.00765292707,0.98
2011-04-06,150900.6077500211,0.98
2011-04-07,150900.6077500211,0.98
2011-04-08,151421.86310945742,0.98
2011-04-11,148499.37270464198,0.98
2011-04-12,143992.94672465543,0.98
2011-04-13,144570.58912276704,0.98
2011-04-14,145539.46171788409,0.98
2011-04-15,146713.1222930757,0.98
2011-04-18,144571.07044489682,0.98
2011-04-19,146005.7191102352,0.98
2011-04-20,149377.5025648729,0.98
2011-04-21,150047.80398431595,0.98
2011-04-25,149284.47440787381,0.98
2011-04-26,150736.83503730802,0.98
2011-04-27,150662.3562800952,0.98
2011-04-28,150643.7067817578,0.98
2011-04-29,152840.51423018583,0.98
2011-05-02,150849.17523541034,0.98
2011-05-03,150775.259139545,0.0
2011-05-04,150775.259139545,0.0
2011-05-05,150775.259139545,0.0
2011-05-06,150775.259139545,0.0
2011-05-09,150775.259139545,0.0
2011-05-10,150775.259139545,0.0
2011-05-11,150775.259139545,0.0
2011-05-12,150775.259139545,0.0
2011-05-13,150775.259139545,0.0
2011-05-16,150775.259139545,0.0
2011-05-17,150775.259139545,0.0
2011-05-18,153686.14027068697,0.98
2011-05-19,153706.309727639,0.98
2011-05-20,153524.87491405234,0.98
2011-05-23,151186.3610003194,0.98
2011-05-24,153283.66509344097,0.98
2011-05-25,155823.94501564646,0.98
2011-05-26,156589.76342146433,0.98
2011-05-27,156972.63441069768,0.98
2011-05-31,158524.27998978007,0.98
2011-06-01,154817.19726974823,0.98
2011-06-02,154741.33684308606,0.0
2011-06-03,154741.33684308606,0.0
2011-06-06,154741.33684308606,0.0
2011-06-07,154665.51358803295,0.98
2011-06-08,155118.89315316046,0.98
2011-06-09,157179.25264782415,0.98
2011-06-10,154192.45172145497,0.98
2011-06-13,151802.06601678906,0.98
2011-06-14,154976.5401158675,0.98
2011-06-15,154900.60161121073,0.0
2011-06-16,154900.60161121073,0.0
2011-06-17,154900.60161121073,0.0
2011-06-20,154900.60161121073,0.0
2011-06-21,157843.23828095084,0.98
2011-06-22,157400.09910272254,0.98
2011-06-23,155711.97901133704,0.98
2011-06-24,155635.68014162147,0.0
2011-06-27,155635.68014162147,0.0
2011-06-28,155635.68014162147,0.0
2011-06-29,157345.86280405588,0.98
2011-06-30,157268.7633312819,0.0
2011-07-01,158643.2754826668,0.98
2011-07-05,159604.0016442533,0.98
2011-07-06,159317.87462599427,0.98
2011-07-07,161668.3546535903,0.98
2011-07-08,160340.162459799,0.98
2011-07-11,156620.81062728207,0.98
2011-07-12,156048.37008074456,0.98
2011-07-13,157193.3498569186,0.98
2011-07-14,156171.14055419137,0.98
2011-07-15,160281.13949839934,0.98
2011-07-18,159749.7199525555,0.98
2011-07-19,162610.98539118114,0.98
2011-07-20,162202.35400449976,0.98
2011-07-21,165328.50208731517,0.98
2011-07-22,166145.43980833332,0.98
2011-07-25,165492.00700482764,0.98
2011-07-26,165410.91592139527,0.0
2011-07-27,165410.91592139527,0.0
2011-07-28,165410.91592139527,0.0
2011-07-29,165410.91592139527,0.0
2011-08-01,165410.91592139527,0.0
2011-08-02,165410.91592139527,0.0
2011-08-03,165410.91592139527,0.0
2011-08-04,165410.91592139527,0.0
2011-08-05,165410.91592139527,0.0
2011-08-08,165410.91592139527,0.0
2011-08-09,165410.91592139527,0.0
2011-08-10,165410.91592139527,0.0
2011-08-11,165410.91592139527,0.0
2011-08-12,165410.91592139527,0.0
2011-08-15,170714.6589360711,0.98
2011-08-16,167935.13675764963,0.98
2011-08-17,168587.9191321849,0.98
2011-08-18,168340.0948910606,0.0
2011-08-19,168340.0948910606,0.0
2011-08-22,168340.0948910606,0.0
2011-08-23,168340.0948910606,0.0
2011-08-24,168340.0948910606,0.0
2011-08-25,164620.638622282,0.98
2011-08-26,167744.2440171351,0.98
2011-08-29,167579.8546579983,0.0
2011-08-30,167579.8546579983,0.0
2011-08-31,167579.8546579983,0.0
2011-09-01,167579.8546579983,0.0
2011-09-02,167579.8546579983,0.0
2011-09-06,167579.8546579983,0.0
2011-09-07,167579.8546579983,0.0
2011-09-08,167579.8546579983,0.0
2011-09-09,167579.8546579983,0.0
2011-09-12,167579.8546579983,0.0
2011-09-13,167579.8546579983,0.0
2011-09-14,167579.8546579983,0.0
2011-09-15,167579.8546579983,0.0
2011-09-16,167579.8546579983,0.0
2011-09-19,167579.8546579983,0.0
2011-09-20,167579.8546579983,0.0
2011-09-21,167579.8546579983,0.0
2011-09-22,167579.8546579983,0.0
2011-09-23,167579.8546579983,0.0
2011-09-26,167579.8546579983,0.0
2011-09-27,167579.8546579983,0.0
2011-09-28,167579.8546579983,0.0
2011-09-29,167579.8546579983,0.0
