SPY,XLK,XLV,XLE,sharpe,return_pct,max_dd_pct
0.0,0.25,0.25,0.5,1.9458385264652187,2520.112816790572,-12.135994087024427
0.0,0.25,0.3,0.45,2.008158989547537,2478.516509243516,-11.387523788557107
0.0,0.25,0.35,0.4,2.064270791894153,2434.6119835433424,-10.635190608076906
0.0,0.25,0.4,0.35,2.1112721322058268,2388.539453358437,-9.879000881862076
0.0,0.25,0.45,0.3,2.146171550171566,2340.444189572342,-9.753966401253978
0.0,0.25,0.5,0.25,2.1662475246046715,2290.4757644903048,-9.661838794129817
0.0,0.25,0.55,0.2,2.1694685765848987,2238.787285251365,-9.916344558779455
0.0,0.25,0.6,0.15,2.154868931183374,2185.534621881283,-10.201740527390147
0.0,0.25,0.65,0.1,2.122759727880742,2130.875635361459,-10.491623779481863
0.0,0.25,0.7,0.05,2.0746973893270444,2074.9694109795096,-10.783295933157188
0.0,0.25,0.75,0.0,2.013216183434849,2017.9755020729444,-11.076732491649366
0.0,0.3,0.0,0.7,1.7100272740607956,2970.2539087132955,-14.764226925584412
0.0,0.3,0.05,0.65,1.7771636883732578,2936.408743904675,-13.890536856600288
0.0,0.3,0.1,0.6,1.8457711128443537,2899.426915418143,-13.010772958169003
0.0,0.3,0.15,0.55,1.9147063529232946,2859.4317742367116,-12.1629313674135
0.0,0.3,0.2,0.5,1.982395705030553,2816.5555463825926,-11.41203190210084
0.0,0.3,0.25,0.45,2.0467917365954635,2770.9386097030547,-10.834278833811329
0.0,0.3,0.3,0.4,2.1053854230819584,2722.7287337894973,-10.430225631063683
0.0,0.3,0.35,0.35,2.155308138086966,2672.08028874633,-10.12173185900106
0.0,0.3,0.4,0.3,2.193551080896744,2619.1534286935384,-10.026445690604813
0.0,0.3,0.45,0.25,2.2173031252819673,2564.113255993657,-9.965295499690075
0.0,0.3,0.5,0.2,2.2243618276030346,2507.1289722493175,-10.239145454857578
0.0,0.3,0.55,0.15,2.2135224688143915,2448.3730221128417,-10.514900128749094
0.0,0.3,0.6,0.1,2.184826963955311,2388.0202358938805,-10.792535871535335
0.0,0.3,0.65,0.05,2.139583944029495,2326.2469768404276,-11.072028974320947
0.0,0.3,0.7,0.0,2.080148495703196,2263.2302988071488,-11.35917131743538
0.0,0.35,0.0,0.65,1.803590466808613,3274.970690033269,-13.346524287199212
0.0,0.35,0.05,0.6,1.8727135592925643,3234.6633448743432,-12.811358672319761
0.0,0.35,0.1,0.55,1.9423039872487016,3190.9851154238518,-12.276987620846535
0.0,0.35,0.15,0.5,2.0108615565006134,3144.08069707925,-11.743460280267204
0.0,0.35,0.2,0.45,2.0764280947675906,3094.103996105396,-11.210825938780344
0.0,0.35,0.25,0.4,2.1365911380724047,3041.217294392809,-10.719412977542465
0.0,0.35,0.3,0.35,2.188568938366717,2985.5903783351537,-10.39400236003656
0.0,0.35,0.35,0.3,2.2294044686561225,2927.399638319669,-10.299036740175538
0.0,0.35,0.4,0.25,2.2562741479674084,2866.827145458588,-10.288763461944416
0.0,0.35,0.45,0.2,2.2668762278981895,2804.0597122604995,-10.561675052621966
0.0,0.35,0.5,0.15,2.2598163230193693,2739.287943951704,-10.836485710269672
0.0,0.35,0.55,0.1,2.234879777305021,2672.705287105601,-11.113171848820713
0.0,0.35,0.6,0.05,2.1930983401884365,2604.5070821281065,-11.391709823338392
0.0,0.35,0.65,0.0,2.13658386912539,2534.889625980527,-11.67207593271965
0.0,0.4,0.0,0.6,1.8935530777871894,3604.5626728677535,-13.194439750326447
0.0,0.4,0.05,0.55,1.9630622719483977,3556.914172701667,-12.662313019066273
0.0,0.4,0.1,0.5,2.031685838337703,3505.6563494262873,-12.131026480737205
0.0,0.4,0.15,0.45,2.0975697326784606,3450.9577603233197,-11.600629231281046
0.0,0.4,0.2,0.4,2.158425237791985,3392.9964406015292,-11.071170499962369
0.0,0.4,0.25,0.35,2.211599676388385,3331.958945350066,-10.674854251447108
0.0,0.4,0.3,0.3,2.2542453823593034,3268.039357415504,-10.571733926534732
0.0,0.4,0.35,0.25,2.283595352833153,3201.438268525881,-10.611955040164812
0.0,0.4,0.4,0.2,2.2973193771378186,3132.3617410781812,-10.8839283911074
0.0,0.4,0.45,0.15,2.2938916767286956,3061.020258031898,-11.157795161053874
0.0,0.4,0.5,0.1,2.2728717642079235,2987.6276683063006,-11.433531827736033
0.0,0.4,0.55,0.05,2.2350082434916487,2912.4001349731425,-11.711114810212974
0.0,0.4,0.6,0.0,2.182127045011406,2835.555093361368,-11.990520471567944
0.0,0.45,0.0,0.55,1.9775121337831223,3960.4580415704804,-13.047194710284272
0.0,0.45,0.05,0.5,2.045489887039074,3904.5013958998616,-12.518146214325176
0.0,0.45,0.1,0.45,2.1109284651656024,3844.6948771358657,-11.989983294167573
0.0,0.45,0.15,0.4,2.1716810139698626,3781.2335997516757,-11.462754986461599
0.0,0.45,0.2,0.35,2.2252538687112855,3714.3223370898086,-10.986942746040784
0.0,0.45,0.25,0.3,2.2689522264887048,3644.1744294588425,-10.844531639066846
0.0,0.45,0.3,0.25,2.3001217096088853,3571.0106609096115,-10.934865278293804
0.0,0.45,0.35,0.2,2.3164667278164917,3495.0581128936315,-11.205900533090162
0.0,0.45,0.4,0.15,2.316389715209716,3416.5490030485953,-11.478823562778285
0.0,0.45,0.45,0.1,2.299267051314587,3335.7195173242926,-11.753610908924262
0.0,0.45,0.5,0.05,2.265578339575322,3252.808643556388,-12.030239054618052
0.0,0.45,0.55,0.0,2.2168444245738996,3168.057014418773,-12.308684427163275
0.0,0.5,0.0,0.5,2.0530055023383547,4344.103281623931,-12.904810577488846
0.0,0.5,0.05,0.45,2.1173505520503566,4278.777983335714,-12.378879181050163
0.0,0.5,0.1,0.4,2.17731625014748,4209.362645917747,-11.853878488849833
0.0,0.5,0.15,0.35,2.2305863661071967,4136.081812246319,-11.32985747052918
0.0,0.5,0.2,0.3,2.274648081047693,4059.1697596138524,-11.12061738506821
0.0,0.5,0.25,0.25,2.3070006101812184,3978.8692627531987,-11.259374614721207
0.0,0.5,0.3,0.2,2.325433929230037,3895.43032939301,-11.527586565175941
0.0,0.5,0.35,0.15,2.328333302761242,3809.108917468609,-11.799566020885887
0.0,0.5,0.4,0.1,2.314939818623478,3720.1656430962444,-12.07340421673081
0.0,0.5,0.45,0.05,2.2854934617359977,3628.864488316924,-12.349077699864807
0.0,0.5,0.5,0.0,2.2412126247858417,3535.471517436833,-12.626562961846233
0.0,0.55,0.0,0.45,2.117746034737169,4756.956076735716,-12.767308006088607
0.0,0.55,0.05,0.4,2.176366901488372,4681.102625702139,-12.244532078894254
0.0,0.55,0.1,0.35,2.2287504839054706,4600.922269311836,-11.722731722230872
0.0,0.55,0.15,0.3,2.2725820293771135,4516.672021614831,-11.460322557302005
0.0,0.55,0.2,0.25,2.305540489542168,4428.618579965357,-11.598566827569034
0.0,0.55,0.25,0.2,2.325538513723986,4337.036931728408,-11.848981597886432
0.0,0.55,0.3,0.15,2.3309897328823235,4242.208938614001,-12.120017664671568
0.0,0.55,0.35,0.1,2.321046965332552,4144.4219087247175,-12.392906899288292
0.0,0.55,0.4,0.05,2.295748941406845,4043.9671663118866,-12.667625912988246
0.0,0.55,0.45,0.0,2.2560314801644914,3941.1386290543655,-12.944151261615566
0.0,0.6,0.0,0.4,2.1698749933564656,5200.477429978472,-12.634706889367331
0.0,0.6,0.05,0.35,2.2209113331732606,5112.831932230076,-12.115124299732404
0.0,0.6,0.1,0.3,2.26402742453289,5020.629331831606,-11.799608692927311
0.0,0.6,0.15,0.25,2.2970951041983083,4924.162321287578,-11.93734012421308
0.0,0.6,0.2,0.2,2.318173416542512,4823.7330753548995,-12.17008076574404
0.0,0.6,0.25,0.15,2.3257390299782106,4719.6516903105,-12.440173647366281
0.0,0.6,0.3,0.1,2.3188984666440065,4612.234607346559,-12.712114128601693
0.0,0.6,0.35,0.05,2.2975306954697423,4501.803031172084,-12.98587888482995
0.0,0.6,0.4,0.0,2.262320286471746,4388.681354719994,-13.261444536212219
0.0,0.65,0.0,0.35,2.2081810617101523,5676.1230059689715,-12.507026355328577
0.0,0.65,0.05,0.3,2.2502050053210723,5575.311904602026,-12.192405649480332
0.0,0.65,0.1,0.25,2.28297415108206,5469.724026559055,-12.275689816990488
0.0,0.65,0.15,0.2,2.304706090847455,5359.691104545789,-12.49087922735541
0.0,0.65,0.2,0.15,2.313964408711487,5245.553977219403,-12.760029146221562
0.0,0.65,0.25,0.1,2.3098439444624597,5127.660850195064,-13.031021100630646
0.0,0.65,0.3,0.05,2.292103994147581,5006.365549251092,-13.303831830120705
0.0,0.65,0.35,0.0,2.261214989236054,4882.0257778229725,-13.578438019200224
0.0,0.7,0.0,0.3,2.2322321511460714,6185.333699068004,-12.65082649566629
0.0,0.7,0.05,0.25,2.2643829811369334,6069.868697897063,-12.613611246159506
0.0,0.7,0.1,0.2,2.2864081117040054,5949.422139757668,-12.811372165495428
0.0,0.7,0.15,0.15,2.2969723892855827,5824.3683004431205,-13.079579362590632
0.0,0.7,0.2,0.1,2.2951855396637626,5695.089982823527,-13.349623035371028
0.0,0.7,0.25,0.05,2.2807229569588143,5561.976589269405,-13.621479987562445
0.0,0.7,0.3,0.0,2.2538791999165038,5425.422196087384,-13.895126968048244
0.0,0.75,0.0,0.25,2.24238865774047,6729.525441275956,-12.95109977995913
0.0,0.75,0.05,0.2,2.2644135562685697,6597.798686889624,-13.131554787187138
0.0,0.75,0.1,0.15,2.2759426407193986,6460.905404980818,-13.39881952200993
0.0,0.75,0.15,0.1,2.2761194836283765,6319.266041564078,-13.66791517693622
0.0,0.75,0.2,0.05,2.2645655951066725,6173.308758986096,-13.938818619906957
0.0,0.75,0.25,0.0,2.241435835758379,6023.467310171377,-14.211506664208695
0.0,0.8,0.0,0.2,2.2397007949973684,7310.078272846128,-13.451422323782946
0.0,0.8,0.05,0.15,2.2519030692664153,7160.357865091378,-13.717744874278681
0.0,0.8,0.1,0.1,2.2537034892235144,7005.311257898843,-13.98589279363549
0.0,0.8,0.15,0.05,2.244693624457803,6845.408798155187,-14.255843014036273
0.0,0.8,0.2,0.0,2.2249208103729194,6681.127475275723,-14.527572413196243
0.0,0.85,0.0,0.15,2.2257238154469294,7928.324708570655,-14.036350693537248
0.0,0.85,0.05,0.1,2.2288444575314066,7758.750613490265,-14.303551178052487
0.0,0.85,0.1,0.05,2.2220329866089252,7583.722032229622,-14.572548481038815
0.0,0.85,0.15,0.0,2.2052565463408405,7403.763021896434,-14.843319544665047
0.0,0.9,0.0,0.1,2.2023004334531007,8585.537443138228,-14.620885647122172
0.0,0.9,0.05,0.05,2.1973697786496107,8394.11788592254,-14.888930356286412
0.0,0.9,0.1,0.0,2.183241244312065,8197.153646650388,-15.21545201235921
0.0,0.95,0.0,0.05,2.1713564443631097,9282.916449815822,-15.644339558760556
0.0,0.95,0.05,0.0,2.1595494197766376,9067.52486831671,-16.136570831717954
0.0,1.0,0.0,0.0,2.1347396575792126,10021.575537866238,-17.095354354178127
0.05,0.0,0.0,0.95,1.2274052581116794,1672.1411778237346,-22.25579841921883
0.05,0.0,0.05,0.9,1.2721319686913326,1660.8612773893065,-21.446906706539515
0.05,0.0,0.1,0.85,1.3192650180913537,1647.611263540209,-20.632247369081124
0.05,0.0,0.15,0.8,1.3686835483038597,1632.4365239675608,-19.811810566173016
0.05,0.0,0.2,0.75,1.4201375311813247,1615.3887497618612,-18.985586822750513
0.05,0.0,0.25,0.7,1.4732019610871576,1596.5256439116483,-18.153567033464547
